date,year,month,national_ev_sales,national_ev_revenue_crores,national_ev_market_share_pct,nexon_ev_sales,tigor_ev_sales,tiago_ev_sales,punch_ev_sales,nexon_ev_revenue_crores,tigor_ev_revenue_crores,tiago_ev_revenue_crores,punch_ev_revenue_crores,state,state_ev_sales,state_ev_revenue_crores,charging_stations_added_state,cumulative_charging_stations_state
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Maharashtra,92,13.9,19,19
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Delhi,93,14.05,23,23
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Karnataka,166,25.07,16,16
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Tamil Nadu,341,51.51,24,24
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Gujarat,259,39.12,7,7
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Rajasthan,158,23.87,9,9
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,West Bengal,434,65.56,23,23
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Punjab,69,10.42,11,11
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Kerala,158,23.87,13,13
2015-01-31,2015,1,1984,299.68000000000006,1.77,1016,705,131,130,135.03,122.18,20.97,21.5,Uttar Pradesh,209,31.57,11,11
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Maharashtra,46,6.96,20,39
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Delhi,328,49.6,19,42
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Karnataka,129,19.51,12,28
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Tamil Nadu,54,8.17,18,42
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Gujarat,195,29.49,12,19
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Rajasthan,7,1.06,20,29
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,West Bengal,430,65.03,17,40
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Punjab,139,21.02,22,33
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Kerala,117,17.69,19,32
2015-02-28,2015,2,2058,311.23,2.35,19,317,333,1388,3.05,54.42,46.18,207.58,Uttar Pradesh,609,92.1,17,28
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Maharashtra,434,73.19,9,48
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Delhi,213,35.92,19,61
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Karnataka,87,14.67,18,46
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Tamil Nadu,14,2.36,7,49
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Gujarat,81,13.66,5,24
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Rajasthan,86,14.5,9,38
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,West Bengal,286,48.23,18,58
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Punjab,221,37.27,11,44
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Kerala,477,80.44,13,45
2015-03-31,2015,3,2043,344.54,1.74,25,1448,494,74,3.26,247.28,81.68,12.32,Uttar Pradesh,139,23.44,19,47
